Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,DrawNumber
2025-10-17,13,35,39,44,47,3,5,1886
2025-10-14,5,8,14,16,18,3,10,1885
2025-10-10,6,7,17,20,21,1,10,1884
2025-10-07,24,39,42,43,48,5,8,1883
2025-10-03,6,12,18,25,41,2,6,1882
2025-09-30,3,8,15,17,48,2,8,1881
2025-09-26,4,17,25,28,44,5,11,1880
2025-09-23,11,13,24,29,33,2,5,1879
2025-09-19,8,10,26,32,42,9,12,1878
2025-09-16,1,9,13,35,40,5,6,1877
2025-09-12,5,10,23,31,37,3,11,1876
2025-09-09,3,13,24,39,40,2,8,1875
2025-09-05,27,30,31,41,43,5,8,1874
2025-09-02,13,30,31,32,36,1,12,1873
2025-08-29,6,9,10,13,37,1,7,1872
2025-08-26,2,14,38,42,45,10,11,1871
2025-08-22,6,9,12,30,39,4,10,1870
2025-08-19,24,31,34,41,43,6,8,1869
2025-08-15,13,30,35,36,40,2,6,1868
2025-08-12,18,28,42,46,48,3,9,1867
2025-08-08,2,12,19,34,44,6,10,1866
2025-08-05,1,3,5,42,47,5,10,1865
2025-08-01,4,16,25,29,30,2,10,1864
2025-07-29,5,6,42,44,46,4,8,1863
2025-07-25,6,7,23,32,36,11,12,1862
2025-07-22,8,15,26,33,41,9,10,1861
2025-07-18,13,19,25,42,45,2,9,1860
2025-07-15,24,38,41,45,49,1,6,1859
2025-07-11,8,23,24,45,49,2,10,1858
2025-07-08,1,8,9,18,50,1,5,1857
2025-07-04,19,29,42,45,48,5,7,1856
2025-07-01,1,17,28,32,34,7,8,1855
2025-06-27,19,27,36,45,49,7,10,1854
2025-06-24,7,16,21,23,39,7,11,1853
2025-06-20,5,8,24,37,47,3,9,1852
2025-06-17,13,22,23,44,49,3,5,1851
2025-06-13,2,28,40,43,45,3,7,1850
2025-06-10,19,36,39,40,45,5,6,1849
2025-06-06,20,21,29,30,35,2,12,1848
2025-06-03,12,15,38,47,48,5,7,1847
2025-05-30,4,7,14,33,36,1,5,1846
2025-05-27,12,30,38,40,41,4,12,1845
2025-05-23,10,29,43,46,49,7,12,1844
2025-05-20,1,8,13,29,47,5,6,1843
2025-05-16,6,9,25,37,46,6,12,1842
2025-05-13,9,19,44,47,50,2,9,1841
2025-05-09,15,18,25,29,47,5,9,1840
2025-05-06,8,23,24,47,48,4,9,1839
2025-05-02,3,5,19,21,49,1,10,1838
2025-04-29,2,9,24,30,41,1,11,1837
2025-04-25,13,22,32,39,41,1,12,1836
2025-04-22,7,28,33,37,47,9,12,1835
2025-04-18,20,27,35,39,48,3,8,1834
2025-04-15,3,31,33,38,44,6,12,1833
2025-04-11,14,28,34,46,49,3,8,1832
2025-04-08,3,14,15,48,49,1,7,1831
2025-04-04,27,39,41,45,50,5,7,1830
2025-04-01,9,24,30,46,49,4,12,1829
2025-03-28,10,21,30,42,45,1,9,1828
2025-03-25,1,3,18,33,36,2,6,1827
2025-03-21,9,17,18,21,50,5,12,1826
2025-03-18,4,9,35,46,50,8,11,1825
2025-03-14,8,10,33,35,49,2,9,1824
