DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Star 1,Star 2,10Main,10Star,7Star,OddM,EvenM,OddS,EvenS,zeros,ones,twos,threes,fours
2024-06-14,2,13,16,24,32,1,7,4,2,2,1,4,2,0,1,2,1,1,0
2024-06-11,7,15,34,45,48,7,9,4,2,2,3,2,2,0,1,1,0,1,2
2024-06-07,15,16,26,30,37,5,8,1,1,1,2,3,1,1,0,2,1,2,0
2024-06-04,6,7,9,14,43,3,4,4,2,1,3,2,1,1,3,1,0,0,1
2024-05-31,4,7,16,33,34,7,8,3,1,1,2,3,1,1,2,1,0,2,0
2024-05-28,16,18,35,36,41,6,7,4,2,2,2,3,1,1,0,2,0,2,1
2024-05-24,9,12,18,22,50,1,3,3,2,2,1,4,2,0,1,2,1,0,0
2024-05-21,11,13,14,34,48,7,9,3,2,2,2,3,2,0,0,3,0,1,1
2024-05-17,18,31,32,41,46,1,10,4,2,1,2,3,1,1,0,1,0,2,2
2024-05-14,2,8,17,28,35,7,9,3,1,0,2,3,2,0,2,1,1,1,0
2024-05-10,13,28,29,44,48,4,12,3,1,1,2,3,0,2,0,1,2,0,2
2024-05-07,35,36,41,42,45,6,11,2,1,0,3,2,1,1,0,0,0,2,3
2024-05-03,6,9,10,30,49,3,4,4,2,2,2,3,1,1,2,1,0,1,1
2024-04-30,13,22,24,33,47,1,5,3,2,1,3,2,2,0,0,1,2,1,1
2024-04-26,2,20,39,40,47,4,8,4,1,1,2,3,0,2,1,0,1,1,2
2024-04-23,6,9,11,32,49,2,10,3,2,2,3,2,0,2,2,1,0,1,1
2024-04-19,10,20,40,44,46,1,3,3,2,2,0,5,2,0,0,1,1,0,3
2024-04-16,22,29,31,39,46,3,7,3,1,0,3,2,2,0,0,0,2,2,1
2024-04-12,2,3,12,16,45,2,11,2,2,2,2,3,1,1,2,2,0,0,1
2024-04-09,19,23,26,27,46,2,10,4,1,1,3,2,0,2,0,1,3,0,1
2024-04-05,13,18,26,35,37,8,11,4,1,1,3,2,1,1,0,2,1,2,0
2024-04-02,1,23,31,36,48,5,8,4,2,1,3,2,1,1,1,0,1,2,1
2024-03-29,16,17,35,36,49,1,10,3,2,2,3,2,1,1,0,2,0,2,1
2024-03-26,2,13,14,26,29,5,6,2,2,1,2,3,1,1,1,2,2,0,0
2024-03-22,8,11,23,32,44,9,10,5,0,0,2,3,1,1,1,1,1,1,1
2024-03-19,7,16,18,20,32,1,3,3,2,1,1,4,2,0,1,2,1,1,0
2024-03-15,1,4,31,34,40,4,5,3,2,2,2,3,1,1,2,0,0,2,1
2024-03-12,13,19,30,38,46,4,12,4,2,2,2,3,0,2,0,2,0,2,1
2024-03-08,8,11,12,16,44,4,7,2,2,2,1,4,1,1,1,3,0,0,1
2024-03-05,2,15,17,23,36,3,8,3,1,1,3,2,1,1,1,2,1,1,0
2024-03-01,4,7,19,20,34,2,4,4,2,2,2,3,0,2,2,1,1,1,0
2024-02-27,3,4,9,12,20,5,6,1,2,1,2,3,1,1,3,1,1,0,0
2024-02-23,24,27,28,30,49,1,12,4,2,2,2,3,1,1,0,0,3,1,1
2024-02-20,23,31,37,42,48,3,7,4,2,0,3,2,2,0,0,0,1,2,2
2024-02-16,8,13,14,24,26,1,2,4,0,0,1,4,1,1,1,2,2,0,0
2024-02-13,13,17,18,20,46,4,9,4,1,1,2,3,1,1,0,3,1,0,1
2024-02-09,23,24,35,37,45,9,12,2,2,2,4,1,1,1,0,0,2,2,1
2024-02-06,2,7,21,28,45,5,11,5,1,1,3,2,2,0,2,0,2,0,1
2024-02-02,13,20,23,27,42,5,9,3,2,2,3,2,2,0,0,1,3,0,1
2024-01-30,5,10,19,27,30,5,6,3,1,0,3,2,1,1,1,2,1,1,0
2024-01-26,8,19,32,41,42,9,12,2,2,2,2,3,1,1,1,1,0,1,2
2024-01-23,14,23,39,48,50,3,12,4,2,2,2,3,1,1,0,1,1,1,1
2024-01-19,27,28,44,48,50,7,12,3,1,1,1,4,1,1,0,0,2,0,2
2024-01-16,10,18,21,33,45,8,12,3,2,2,3,2,0,2,0,2,1,1,1
2024-01-12,16,17,18,45,49,9,12,3,2,2,3,2,1,1,0,3,0,0,2
2024-01-09,2,9,12,39,40,1,3,2,1,1,2,3,2,0,2,1,0,1,1
2024-01-05,4,7,18,39,50,3,8,5,1,0,2,3,1,1,2,1,0,1,0
2024-01-02,7,15,18,46,49,10,12,1,2,2,3,2,0,2,1,2,0,0,2
2023-12-29,2,3,19,36,37,6,9,2,1,1,3,2,1,1,2,1,0,2,0
2023-12-26,8,27,30,35,47,9,10,2,1,1,3,2,1,1,1,0,1,2,1
2023-12-22,6,14,34,44,49,4,12,4,2,2,1,4,0,2,1,1,0,1,2
2023-12-19,10,20,41,43,45,2,12,3,2,1,3,2,0,2,0,1,1,0,3
2023-12-15,2,13,37,38,48,5,9,4,2,2,2,3,2,0,1,1,0,2,1
2023-12-12,6,28,37,39,43,9,12,2,2,2,3,2,1,1,1,0,1,2,1
2023-12-08,17,30,42,48,50,4,8,2,1,1,1,4,0,2,0,1,0,1,2
2023-12-05,4,6,20,24,25,5,9,3,1,1,1,4,2,0,2,0,3,0,0
2023-12-01,4,10,14,38,50,9,12,1,0,0,0,5,1,1,1,2,0,1,0
2023-11-28,12,16,27,33,44,7,8,0,1,1,2,3,1,1,0,2,1,1,1
2023-11-24,15,20,29,39,48,1,7,1,1,1,3,2,2,0,0,1,2,1,1
2023-11-21,19,29,34,46,47,2,3,1,1,1,3,2,1,1,0,1,1,1,2
2023-11-17,2,24,26,46,50,2,7,0,0,0,0,5,1,1,1,0,2,0,1
