Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball
2026-03-02,2,13,22,29,31,3
2026-02-26,18,19,20,27,33,9
2026-02-23,8,23,32,41,42,1
2026-02-19,5,9,13,34,45,8
2026-02-16,12,23,28,30,43,9
2026-02-12,6,26,30,32,36,10
2026-02-09,3,34,39,40,41,1
2026-02-05,6,15,21,22,43,6
2026-02-02,2,6,31,39,42,5
2026-01-29,13,24,31,33,36,3
2026-01-29,13,24,31,33,36,1
2026-01-26,1,16,19,26,34,7
2026-01-22,1,5,13,17,21,2
2026-01-19,3,7,19,30,32,7
2026-01-15,9,22,24,29,30,1
2026-01-12,9,20,29,41,47,4
2026-01-08,13,17,26,29,46,4
2026-01-05,4,22,32,33,36,7
2026-01-01,7,8,41,43,45,10
2025-12-29,8,13,15,25,39,6
2025-12-25,1,4,6,30,47,9
2025-12-22,10,23,27,28,36,3
2025-12-18,8,9,10,19,37,10
2025-12-15,8,27,29,31,42,5
2025-12-11,16,21,26,29,36,2
2025-12-08,4,22,27,35,45,6
2025-12-04,1,8,33,38,42,9
2025-12-01,16,22,24,32,38,9
2025-11-27,11,13,14,20,26,8
2025-11-24,15,23,40,43,44,1
2025-11-20,4,5,9,14,42,9
2025-11-17,4,7,11,18,27,3
2025-11-13,11,30,31,34,45,3
2025-11-10,1,7,25,27,35,6
2025-11-06,5,29,30,31,37,6
2025-11-03,4,20,31,35,38,1
2025-10-30,5,18,22,31,32,3
2025-10-27,6,16,18,33,34,4
2025-10-23,3,20,25,26,35,7
2025-10-20,11,17,26,30,43,8
2025-10-16,1,8,12,27,46,2
2025-10-13,4,24,27,31,36,8
2025-10-09,10,16,36,39,40,7
2025-10-06,9,15,24,33,45,2
2025-10-02,3,28,30,35,40,7
2025-09-29,7,12,31,34,35,7
2025-09-25,10,25,42,43,46,4
2025-09-22,3,9,34,37,42,3
2025-09-18,18,19,22,34,40,5
2025-09-15,18,38,42,45,46,2
2025-09-11,2,30,39,41,45,9
2025-09-08,17,18,23,33,44,6
2025-09-04,6,14,22,28,36,3
2025-09-01,18,21,24,29,47,7
2025-08-28,6,18,21,25,34,10
2025-08-25,5,32,34,38,44,9
2025-08-21,3,6,7,14,18,5
2025-08-18,2,4,8,11,28,1
2025-08-14,8,9,21,32,42,8
2025-08-11,3,6,24,27,34,5
2025-08-07,3,11,17,18,23,6
2025-08-04,11,26,28,32,39,2
2025-07-31,4,44,26,47,11,10
2025-07-28,7,2,4,34,22,2
2025-07-24,6,9,40,4,10,5
2025-07-21,3,13,39,5,31,2
2025-07-17,29,11,47,17,26,6
2025-07-14,3,9,23,41,17,9
2025-07-10,39,27,15,35,17,8
2025-07-07,3,34,22,4,30,4
2025-07-03,8,20,18,14,5,4
2025-06-30,17,14,25,3,8,9
2025-06-26,37,46,4,34,2,6
2025-06-23,31,19,21,7,12,5
2025-06-19,45,8,10,28,12,9
2025-06-16,38,15,35,1,34,5
2025-06-12,45,13,44,37,17,9
