DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball,Ball Set,Machine,DrawNumber
2025-09-29,7,12,31,34,35,7,SFL4,Excalibur 2,683
2025-09-25,10,25,42,43,46,4,SFL6,Excalibur 2,682
2025-09-22,3,9,34,37,42,3,SFL6,Excalibur 2,681
2025-09-18,18,19,22,34,40,5,SFL5,Excalibur 1,680
2025-09-15,18,38,42,45,46,2,SFL5,Excalibur 1,679
2025-09-11,2,30,39,41,45,9,SFL4,Excalibur 1,678
2025-09-08,17,18,23,33,44,6,SFL4,Excalibur 1,677
2025-09-04,6,14,22,28,36,3,SFL6,Excalibur 3,676
2025-09-01,18,21,24,29,47,7,SFL6,Excalibur 3,675
2025-08-28,6,18,21,25,34,10,SFL5,Excalibur 3,674
2025-08-25,5,32,34,38,44,9,SFL5,Excalibur 3,673
2025-08-21,3,6,7,14,18,5,SFL4,Excalibur 1,672
2025-08-18,2,4,8,11,28,1,SFL4,Excalibur 1,671
2025-08-14,8,9,21,32,42,8,SFL6,Excalibur 1,670
2025-08-11,3,6,24,27,34,5,SFL6,Excalibur 1,669
2025-08-07,3,11,17,18,23,6,SFL5,Excalibur 1,668
2025-08-04,11,26,28,32,39,2,SFL5,Excalibur 1,667
2025-07-31,4,44,26,47,11,10,SFL4,Excalibur 1,666
2025-07-28,7,2,4,34,22,2,SFL1,Excalibur 1,665
2025-07-24,6,9,40,4,10,5,SFL3,Excalibur 3,664
2025-07-21,3,13,39,5,31,2,SFL3,Excalibur 3,663
2025-07-17,29,11,47,17,26,6,SFL2,Excalibur 3,662
2025-07-14,3,9,23,41,17,9,SFL2,Excalibur 3,661
2025-07-10,39,27,15,35,17,8,SFL1,Excalibur 1,660
2025-07-07,3,34,22,4,30,4,SFL1,Excalibur 2,659
2025-07-03,8,20,18,14,5,4,SFL3,Excalibur 5,658
2025-06-30,17,14,25,3,8,9,SFL3,Excalibur 5,657
2025-06-26,37,46,4,34,2,6,SFL2,Excalibur 4,656
2025-06-23,31,19,21,7,12,5,SFL2,Excalibur 4,655
2025-06-19,45,8,10,28,12,9,SFL1,Excalibur 4,654
2025-06-16,38,15,35,1,34,5,SFL1,Excalibur 4,653
2025-06-12,45,13,44,37,17,9,SFL3,Excalibur 6,652
2025-06-09,7,39,31,36,44,1,SFL3,Excalibur 6,651
2025-06-05,42,14,12,19,1,2,SFL2,Excalibur 6,650
2025-06-02,41,36,42,46,23,4,SFL2,Excalibur 6,649
2025-05-29,11,22,21,41,27,5,SFL1,Excalibur 5,648
2025-05-26,40,27,7,13,33,4,SFL1,Excalibur 5,647
2025-05-22,19,6,34,15,9,3,SFL3,Excalibur 5,646
2025-05-19,18,14,28,46,23,9,SFL3,Excalibur 5,645
2025-05-15,27,42,45,46,3,6,SFL2,Excalibur 4,644
2025-05-12,14,19,32,23,12,5,SFL2,Excalibur 4,643
2025-05-08,31,38,7,42,6,6,SFL1,Excalibur 4,642
2025-05-05,24,27,21,36,20,5,SFL1,Excalibur 4,641
2025-05-01,35,8,25,20,40,4,SFL3,Excalibur 6,640
2025-04-28,41,38,7,37,18,1,SFL3,Excalibur 6,639
2025-04-24,12,37,21,33,29,7,SFL2,Excalibur 6,638
2025-04-21,15,34,25,33,36,8,SFL2,Excalibur 6,637
2025-04-17,43,21,2,32,5,7,SFL1,Excalibur 5,636
2025-04-14,15,43,5,44,14,1,SFL7,Excalibur 5,635
2025-04-10,23,41,21,22,38,5,SFL9,Excalibur 5,634
2025-04-07,27,30,15,26,31,10,SFL9,Excalibur 5,633
2025-04-03,31,42,4,17,9,9,SFL7,Excalibur 4,632
2025-03-31,37,40,7,39,47,1,SFL7,Excalibur 4,631
2025-03-27,25,24,45,5,39,5,SFL9,Excalibur 4,630
2025-03-24,4,41,3,18,6,8,SFL9,Excalibur 4,629
2025-03-20,16,22,35,1,15,4,SFL7,Excalibur 6,628
2025-03-17,31,34,1,44,28,5,SFL7,Excalibur 6,627
2025-03-13,38,31,23,21,8,3,SFL9,Excalibur 6,626
2025-03-10,14,36,5,24,41,10,SFL9,Excalibur 6,625
2025-03-06,6,21,15,47,30,2,SFL8,Excalibur 5,624
2025-03-03,35,22,25,47,28,4,SFL8,Excalibur 5,623
2025-02-27,10,18,34,36,27,3,SFL8,Excalibur 5,622
2025-02-24,15,29,3,19,10,6,SFL8,Excalibur 5,621
2025-02-20,5,37,26,21,8,1,SFL8,Excalibur 4,620
2025-02-17,16,26,41,25,34,3,SFL8,Excalibur 4,619
2025-02-13,41,24,44,19,10,4,SFL7,Excalibur 4,618
2025-02-10,10,39,1,14,34,6,SFL7,Excalibur 4,617
2025-02-06,33,6,35,25,26,1,SFL9,Excalibur 6,616
2025-02-03,34,3,39,13,23,4,SFL9,Excalibur 6,615
2025-01-30,42,8,33,17,12,7,SFL8,Excalibur 6,614
2025-01-27,5,19,21,16,36,8,SFL8,Excalibur 6,613
2025-01-23,11,45,22,32,21,6,SFL7,Excalibur 5,612
2025-01-20,32,3,2,35,36,9,SFL7,Excalibur 5,611
2025-01-16,9,15,33,44,12,10,SFL9,Excalibur 5,610
2025-01-13,11,36,43,37,16,9,SFL9,Excalibur 5,609
2025-01-09,13,11,45,14,10,3,SFL8,Excalibur 4,608
2025-01-06,26,21,38,31,10,9,SFL8,Excalibur 4,607
2025-01-02,28,44,8,27,12,9,SFL7,Excalibur 4,606
2024-12-30,28,35,13,8,29,10,SFL4,Excalibur 4,605
2024-12-26,29,11,9,24,36,6,SFL6,Excalibur 6,604
2024-12-23,28,2,19,23,18,3,SFL6,Excalibur 6,603
2024-12-19,4,38,41,7,20,5,SFL5,Excalibur 6,602
2024-12-16,16,6,23,30,28,7,SFL5,Excalibur 6,601
2024-12-12,43,30,42,22,13,5,SFL4,Excalibur 5,600
2024-12-09,22,8,40,5,21,10,SFL4,Excalibur 5,599
2024-12-05,45,12,11,36,10,8,SFL6,Excalibur 5,598
2024-12-02,25,37,34,31,3,6,SFL6,Excalibur 2,597
2024-11-28,19,28,24,39,32,9,SFL5,Excalibur 1,596
2024-11-25,29,38,31,34,18,1,SFL5,Excalibur 1,595
2024-11-21,3,35,12,43,13,1,SFL4,Excalibur 1,594
2024-11-18,10,19,2,8,24,9,SFL4,Excalibur 1,593
2024-11-14,1,17,39,30,3,5,SFL6,Excalibur 3,592
